time_s,bus_busy_s,load_percent
483,0.00528,0.528
484,0.00528,0.528
485,0.00528,0.528
486,0.00528,0.528
487,0.00528,0.528
488,0.00528,0.528
489,0.00528,0.528
490,0.00528,0.528
491,0.00528,0.528
492,0.00528,0.528
493,0.00528,0.528
494,0.00528,0.528
495,0.00528,0.528
496,0.00528,0.528
497,0.00528,0.528
498,0.00528,0.528
499,0.00528,0.528
500,0.00528,0.528
501,0.00528,0.528
502,0.00528,0.528
503,0.00528,0.528
504,0.00528,0.528
505,0.00528,0.528
506,0.00528,0.528
507,0.00528,0.528
508,0.00528,0.528
509,0.00528,0.528
510,0.00528,0.528
511,0.00528,0.528
512,0.00528,0.528
513,0.00528,0.528
514,0.00528,0.528
515,0.00528,0.528
516,0.00528,0.528
517,0.00528,0.528
518,0.00528,0.528
519,0.00528,0.528
520,0.00528,0.528
521,0.00528,0.528
522,0.00528,0.528
523,0.00528,0.528
524,0.00528,0.528
525,0.00528,0.528
526,0.00528,0.528
527,0.00528,0.528
528,0.00528,0.528
529,0.00528,0.528
530,0.00528,0.528
531,0.00528,0.528
532,0.00528,0.528
533,0.00528,0.528
534,0.00528,0.528
535,0.00528,0.528
536,0.00528,0.528
537,0.00528,0.528
538,0.00528,0.528
539,0.00528,0.528
540,0.0108,1.08
541,0.00528,0.528
542,0.00528,0.528
543,0.00528,0.528
544,0.00528,0.528
545,0.00528,0.528
546,0.00528,0.528
547,0.00528,0.528
548,0.00528,0.528
549,0.00528,0.528
550,0.00528,0.528
551,0.00528,0.528
552,0.00528,0.528
553,0.00528,0.528
554,0.00528,0.528
555,0.00528,0.528
556,0.00528,0.528
557,0.00528,0.528
558,0.00528,0.528
559,0.00528,0.528
560,0.00528,0.528
561,0.00528,0.528
562,0.00528,0.528
563,0.00528,0.528
564,0.00528,0.528
565,0.00528,0.528
566,0.00528,0.528
567,0.00528,0.528
568,0.00528,0.528
569,0.00528,0.528
570,0.00528,0.528
571,0.00528,0.528
572,0.00528,0.528
573,0.00528,0.528
574,0.00528,0.528
575,0.00528,0.528
576,0.00528,0.528
577,0.00528,0.528
578,0.00528,0.528
579,0.00528,0.528
580,0.00528,0.528
581,0.00528,0.528
582,0.00528,0.528
583,0.00528,0.528
584,0.00528,0.528
585,0.00528,0.528
586,0.00528,0.528
587,0.00528,0.528
588,0.00528,0.528
589,0.00528,0.528
590,0.00528,0.528
591,0.00528,0.528
592,0.00528,0.528
593,0.00528,0.528
594,0.00528,0.528
595,0.00528,0.528
596,0.00528,0.528
597,0.00528,0.528
598,0.00528,0.528
599,0.00528,0.528
