thread,query_type,latency_us
reader,SELECT,59.916999999964915
reader,SELECT,32.542000000024274
writer,UPDATE,61.62499999995408
reader,SELECT,59.70799999999166
reader,SELECT,48.3749999999894
writer,UPDATE,63.916999999968915
reader,SELECT,62.16699999994635
writer,UPDATE,76.74999999995879
reader,SELECT,59.00000000003125
reader,SELECT,39.37499999995264
writer,UPDATE,55.83300000000513
reader,SELECT,31.540999999912778
reader,SELECT,50.99999999991223
writer,UPDATE,45.41599999996482
reader,SELECT,29.87499999995702
reader,SELECT,37.00000000006476
writer,UPDATE,52.16699999999186
reader,SELECT,35.291999999964574
reader,SELECT,56.000000000056005
writer,UPDATE,34.95899999994556
reader,SELECT,37.916000000026706
reader,SELECT,53.83299999994762
writer,UPDATE,31.000000000003247
reader,SELECT,39.2920000000796
reader,SELECT,54.58400000002417
writer,UPDATE,48.04099999999867
reader,SELECT,37.41599999995682
reader,SELECT,32.542000000024274
writer,UPDATE,33.74999999994355
reader,SELECT,36.12499999994245
reader,SELECT,29.24999999998068
reader,SELECT,88.12499999999446
writer,UPDATE,129.1250000000632
reader,SELECT,42.749999999980304
writer,UPDATE,70.45800000005099
reader,SELECT,60.833000000037885
reader,SELECT,74.37500000007091
reader,SELECT,93.83399999995933
writer,UPDATE,111.87500000009453
reader,SELECT,91.87500000007454
writer,UPDATE,65.9169999999154
reader,SELECT,82.54200000001876
reader,SELECT,70.3750000000669
writer,UPDATE,174.95899999997454
reader,SELECT,179.4579999999657
reader,SELECT,105.41699999999653
reader,SELECT,142.62500000006284
writer,UPDATE,183.25000000007918
reader,SELECT,91.33299999997124
writer,UPDATE,88.75000000008183
reader,SELECT,88.7499999999708
reader,SELECT,70.7500000000083
writer,UPDATE,55.9580000000226
reader,SELECT,71.50000000000212
reader,SELECT,78.12499999992895
writer,UPDATE,82.54200000001876
reader,SELECT,87.08400000001504
reader,SELECT,78.79099999996697
writer,UPDATE,71.66599999997025
reader,SELECT,78.54200000001477
reader,SELECT,61.791000000033236
writer,UPDATE,58.957999999997845
reader,SELECT,73.91700000003442
reader,SELECT,44.332999999951994
writer,UPDATE,54.83299999997637
reader,SELECT,60.3750000000014
reader,SELECT,221.20799999991726
writer,UPDATE,228.87500000001725
reader,SELECT,98.16699999998235
writer,UPDATE,79.04099999989089
reader,SELECT,87.24999999998317
reader,SELECT,72.04100000002268
reader,SELECT,171.8749999999325
writer,UPDATE,130.83300000005238
reader,SELECT,92.29200000004934
reader,SELECT,173.16599999994685
writer,UPDATE,272.37499999999136
reader,SELECT,86.29100000001611
reader,SELECT,64.75000000005781
writer,UPDATE,101.5830000000717
reader,SELECT,72.87499999997226
reader,SELECT,111.04200000000563
writer,UPDATE,148.24999999996092
reader,SELECT,62.6659999999335
writer,UPDATE,58.541999999994765
reader,SELECT,84.37500000002541
reader,SELECT,50.957999999989845
writer,UPDATE,48.7919999999642
reader,SELECT,56.417000000030804
reader,SELECT,44.04099999999467
writer,UPDATE,51.95799999990758
reader,SELECT,49.54100000009731
reader,SELECT,39.082999999995316
writer,UPDATE,37.832999999931616
